"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"1","Abudefduf abdominalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",6652
"2","Abudefduf abdominalis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",6652
"3","Abudefduf abdominalis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6652
"4","Abudefduf abdominalis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6652
"5","Abudefduf bengalensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",6517
"6","Abudefduf bengalensis","zoobenthos","benth. crust.","crabs",NA,"juv./adults",6517
"7","Abudefduf bengalensis","zoobenthos","mollusks","gastropods",NA,"juv./adults",6517
"8","Abudefduf bengalensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6517
"9","Abudefduf concolor","plants","other plants","benthic algae/weeds",19,"juv./adults",11793
"10","Abudefduf concolor","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11793
"11","Abudefduf lorenzi","plants","other plants","benthic algae/weeds",19,"juv./adults",5685
"12","Abudefduf lorenzi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5685
"13","Abudefduf luridus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",11820
"14","Abudefduf margariteus","plants","other plants","benthic algae/weeds",19,"juv./adults",11823
"15","Abudefduf margariteus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11823
"16","Abudefduf natalensis","plants","other plants","benthic algae/weeds",19,"juv./adults",11825
"17","Abudefduf natalensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11825
"18","Abudefduf notatus","plants","other plants","benthic algae/weeds",65,"juv./adults",5686
"19","Abudefduf notatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5686
"20","Abudefduf saxatilis","plants","other plants","benthic algae/weeds",19,"juv./adults",1119
"21","Abudefduf saxatilis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",1119
"22","Abudefduf septemfasciatus","nekton","finfish","n.a./other finfish",NA,"recruits/juv.",5687
"23","Abudefduf septemfasciatus","plants","other plants","benthic algae/weeds",65,"juv./adults",5687
"24","Abudefduf septemfasciatus","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",5687
"25","Abudefduf septemfasciatus","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",5687
"26","Abudefduf septemfasciatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5687
"27","Abudefduf septemfasciatus","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"recruits/juv.",5687
"28","Abudefduf sexfasciatus","plants","other plants","benthic algae/weeds",19,"juv./adults",5688
"29","Abudefduf sexfasciatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5688
"30","Abudefduf sordidus","detritus","detritus","debris",5,"juv./adults",5689
"31","Abudefduf sordidus","nekton","finfish","n.a./other finfish",22,"juv./adults",5689
"32","Abudefduf sordidus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5689
"33","Abudefduf sordidus","zoobenthos","benth. crust.","amphipods",5,"juv./adults",5689
"34","Abudefduf sordidus","zoobenthos","benth. crust.","crabs",16,"juv./adults",5689
"35","Abudefduf sordidus","zoobenthos","benth. crust.","isopods",5,"juv./adults",5689
"36","Abudefduf sordidus","zoobenthos","benth. crust.","shrimps/prawns",5,"juv./adults",5689
"37","Abudefduf sordidus","zoobenthos","cnidarians","n.a./other polyps",5,"juv./adults",5689
"38","Abudefduf sordidus","zoobenthos","mollusks","bivalves",5,"juv./adults",5689
"39","Abudefduf sordidus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",16,"juv./adults",5689
"40","Abudefduf sordidus","zoobenthos","worms","polychaetes",16,"juv./adults",5689
"41","Abudefduf sordidus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",5,"juv./adults",5689
"42","Abudefduf sparoides","plants","other plants","benthic algae/weeds",NA,"juv./adults",8018
"43","Abudefduf sparoides","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",8018
"44","Abudefduf sparoides","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",8018
"45","Abudefduf sparoides","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",8018
"46","Abudefduf taurus","plants","other plants","benthic algae/weeds",NA,"juv./adults",1120
"47","Abudefduf taurus","plants","other plants","benthic algae/weeds",NA,"juv./adults",1120
"48","Abudefduf taurus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",1120
"49","Abudefduf taurus","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",1120
"50","Abudefduf troschelii","plants","other plants","benthic algae/weeds",NA,"juv./adults",8245
"51","Abudefduf troschelii","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",8245
"52","Abudefduf troschelii","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",8245
"53","Abudefduf vaigiensis","nekton","finfish","bony fish",23.5,"juv./adults",6630
"54","Abudefduf vaigiensis","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",6630
"55","Abudefduf vaigiensis","plants","other plants","benthic algae/weeds",20.6,"juv./adults",6630
"56","Abudefduf vaigiensis","zoobenthos","insects","insects",5.9,"juv./adults",6630
"57","Abudefduf vaigiensis","zoobenthos","insects","insects",26.5,"juv./adults",6630
"58","Abudefduf vaigiensis","zoobenthos","benth. crust.","amphipods",26.5,"juv./adults",6630
"59","Abudefduf vaigiensis","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",6630
"60","Abudefduf vaigiensis","zoobenthos","benth. crust.","benth. copepods",98.5,"juv./adults",6630
"61","Abudefduf vaigiensis","zoobenthos","benth. crust.","isopods",NA,"recruits/juv.",6630
"62","Abudefduf vaigiensis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",1.5,"juv./adults",6630
"63","Abudefduf vaigiensis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",7.4,"juv./adults",6630
"64","Abudefduf vaigiensis","zoobenthos","benth. crust.","ostracods",NA,"recruits/juv.",6630
"65","Abudefduf vaigiensis","zoobenthos","mollusks","gastropods",8.8,"juv./adults",6630
"66","Abudefduf vaigiensis","zoobenthos","sponges/tunicates","ascidians",7.4,"juv./adults",6630
"67","Abudefduf vaigiensis","zoobenthos","worms","non-annelids",8.8,"juv./adults",6630
"68","Abudefduf vaigiensis","zoobenthos","worms","polychaetes",32.4,"juv./adults",6630
"69","Abudefduf vaigiensis","zooplankton","fish (early stages)","fish eggs/larvae",10.3,"juv./adults",6630
"70","Abudefduf vaigiensis","zooplankton","jellyfish/hydroids","jellyfish/hydroids",10.3,"juv./adults",6630
"71","Abudefduf vaigiensis","zooplankton","plank. crust.","euphausiids",8.8,"juv./adults",6630
"72","Abudefduf vaigiensis","zooplankton","plank. crust.","plank. copepods",NA,"recruits/juv.",6630
"73","Abudefduf whitleyi","plants","other plants","benthic algae/weeds",19,"juv./adults",9626
"74","Abudefduf whitleyi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",9626
"75","Acanthochromis polyacanthus","plants","other plants","benthic algae/weeds",19,"juv./adults",6655
"76","Acanthochromis polyacanthus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",6655
"77","Amblyglyphidodon aureus","plants","other plants","benthic algae/weeds",19,"juv./adults",5690
"78","Amblyglyphidodon aureus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5690
"79","Amblyglyphidodon curacao","plants","other plants","benthic algae/weeds",100,"adults",5477
"80","Amblyglyphidodon curacao","zooplankton","plank. crust.","plank. copepods",100,"adults",5477
"81","Amblyglyphidodon curacao","zooplankton","plank. crust.","plank. copepods",100,"adults",5477
"82","Amblyglyphidodon curacao","zooplankton","fish (early stages)","fish eggs/larvae",40,"adults",5477
"83","Amblyglyphidodon leucogaster","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5691
"84","Amblyglyphidodon leucogaster","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",5691
"85","Amblyglyphidodon leucogaster","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",5691
"86","Amblyglyphidodon leucogaster","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5691
"87","Amblyglyphidodon leucogaster","zooplankton","plank. crust.","mysids",NA,"juv./adults",5691
"88","Amblyglyphidodon leucogaster","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5691
"89","Amblyglyphidodon ternatensis","plants","other plants","benthic algae/weeds",19,"juv./adults",5692
"90","Amblyglyphidodon ternatensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5692
"91","Amphiprion akallopisos","plants","other plants","benthic algae/weeds",65,"juv./adults",8017
"92","Amphiprion akallopisos","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",8017
"93","Amphiprion akindynos","plants","other plants","benthic algae/weeds",65,"juv./adults",11959
"94","Amphiprion akindynos","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11959
"95","Amphiprion allardi","plants","other plants","benthic algae/weeds",65,"juv./adults",11836
"96","Amphiprion allardi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11836
"97","Amphiprion bicinctus","plants","other plants","benthic algae/weeds",65,"juv./adults",11837
"98","Amphiprion bicinctus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11837
"99","Amphiprion chrysogaster","plants","other plants","benthic algae/weeds",65,"juv./adults",11839
"100","Amphiprion chrysogaster","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11839
"101","Amphiprion chrysopterus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4551
"102","Amphiprion chrysopterus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4551
"103","Amphiprion chrysopterus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4551
"104","Amphiprion chrysopterus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4551
"105","Amphiprion chrysopterus","plants","phytoplankton","blue-green algae",NA,"juv./adults",4551
"106","Amphiprion chrysopterus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",4551
"107","Amphiprion chrysopterus","zoobenthos","benth. crust.","isopods",NA,"juv./adults",4551
"108","Amphiprion chrysopterus","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",4551
"109","Amphiprion chrysopterus","zoobenthos","worms","non-annelids",NA,"juv./adults",4551
"110","Amphiprion chrysopterus","zoobenthos","worms","non-annelids",NA,"juv./adults",4551
"111","Amphiprion chrysopterus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4551
"112","Amphiprion chrysopterus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4551
"113","Amphiprion chrysopterus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4551
"114","Amphiprion clarkii","plants","other plants","benthic algae/weeds",65,"juv./adults",5448
"115","Amphiprion clarkii","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5448
"116","Amphiprion ephippium","plants","other plants","benthic algae/weeds",65,"juv./adults",11840
"117","Amphiprion ephippium","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11840
"118","Amphiprion frenatus","plants","other plants","benthic algae/weeds",65,"juv./adults",6522
"119","Amphiprion frenatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",6522
"120","Amphiprion fuscocaudatus","plants","other plants","benthic algae/weeds",65,"juv./adults",11842
"121","Amphiprion fuscocaudatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11842
"122","Amphiprion latezonatus","plants","other plants","benthic algae/weeds",65,"juv./adults",9206
"123","Amphiprion latezonatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",9206
"124","Amphiprion leucokranos","plants","other plants","benthic algae/weeds",65,"juv./adults",9207
"125","Amphiprion leucokranos","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",9207
"126","Amphiprion mccullochi","plants","other plants","benthic algae/weeds",65,"juv./adults",9208
"127","Amphiprion mccullochi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",9208
"128","Amphiprion melanopus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4654
"129","Amphiprion melanopus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4654
"130","Amphiprion melanopus","zoobenthos","sponges/tunicates","ascidians",NA,"adults",4654
"131","Amphiprion melanopus","zoobenthos","worms","non-annelids",NA,"adults",4654
"132","Amphiprion melanopus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4654
"133","Amphiprion melanopus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4654
"134","Amphiprion melanopus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4654
"135","Amphiprion melanopus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4654
"136","Amphiprion nigripes","plants","other plants","benthic algae/weeds",65,"juv./adults",7809
"137","Amphiprion nigripes","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",7809
"138","Amphiprion ocellaris","detritus","detritus","debris",NA,"recruits/juv.",6509
"139","Amphiprion ocellaris","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",6509
"140","Amphiprion ocellaris","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",6509
"141","Amphiprion ocellaris","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",6509
"142","Amphiprion ocellaris","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",6509
"143","Amphiprion ocellaris","zoobenthos","benth. crust.","shrimps/prawns",NA,"recruits/juv.",6509
"144","Amphiprion ocellaris","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",6509
"145","Amphiprion ocellaris","zooplankton","plank. crust.","plank. copepods",NA,"recruits/juv.",6509
"146","Amphiprion perideraion","plants","other plants","benthic algae/weeds",NA,"juv./adults",2024
"147","Amphiprion perideraion","plants","phytoplankton","blue-green algae",NA,"juv./adults",2024
"148","Amphiprion perideraion","plants","phytoplankton","diatoms",NA,"juv./adults",2024
"149","Amphiprion perideraion","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",2024
"150","Amphiprion perideraion","zoobenthos","benth. crust.","crabs",NA,"juv./adults",2024
"151","Amphiprion perideraion","zoobenthos","benth. crust.","isopods",NA,"juv./adults",2024
"152","Amphiprion perideraion","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",2024
"153","Amphiprion perideraion","zoobenthos","worms","non-annelids",NA,"juv./adults",2024
"154","Amphiprion perideraion","zoobenthos","worms","non-annelids",NA,"juv./adults",2024
"155","Amphiprion perideraion","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",2024
"156","Amphiprion perideraion","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",2024
"157","Amphiprion perideraion","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",2024
"158","Amphiprion polymnus","plants","other plants","benthic algae/weeds",65,"juv./adults",8086
"159","Amphiprion polymnus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",8086
"160","Amphiprion rubrocinctus","plants","other plants","benthic algae/weeds",65,"juv./adults",9212
"161","Amphiprion rubrocinctus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",9212
"162","Amphiprion sandaracinos","plants","other plants","benthic algae/weeds",65,"juv./adults",6523
"163","Amphiprion sandaracinos","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",6523
"164","Amphiprion sebae","plants","other plants","benthic algae/weeds",65,"juv./adults",11846
"165","Amphiprion sebae","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",11846
"166","Amphiprion tricinctus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4655
"167","Amphiprion tricinctus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4655
"168","Amphiprion tricinctus","plants","phytoplankton","blue-green algae",NA,"juv./adults",4655
"169","Amphiprion tricinctus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",4655
"170","Amphiprion tricinctus","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",4655
"171","Amphiprion tricinctus","zoobenthos","worms","non-annelids",NA,"juv./adults",4655
"172","Amphiprion tricinctus","zoobenthos","worms","non-annelids",NA,"juv./adults",4655
"173","Amphiprion tricinctus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",4655
"174","Amphiprion tricinctus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4655
"175","Amphiprion tricinctus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4655
"176","Amphiprion tricinctus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4655
"177","Azurina eupalama","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",11848
"178","Cheiloprion labiatus","plants","other plants","benthic algae/weeds",19,"juv./adults",5684
"179","Cheiloprion labiatus","zoobenthos","cnidarians","hard corals",65,"juv./adults",5684
"180","Chromis agilis","plants","other plants","benthic algae/weeds",50,"adults",5669
"181","Chromis agilis","zooplankton","fish (early stages)","fish eggs/larvae",100,"adults",5669
"182","Chromis agilis","zooplankton","plank. crust.","mysids",50,"adults",5669
"183","Chromis agilis","zooplankton","plank. crust.","plank. copepods",100,"adults",5669
"184","Chromis agilis","zooplankton","plank. crust.","plank. copepods",100,"adults",5669
"185","Chromis albomaculata","plants","other plants","benthic algae/weeds",19,"juv./adults",11851
"186","Chromis albomaculata","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11851
"187","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"188","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"189","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"190","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"191","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"192","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"193","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"194","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"195","Chromis albomaculata","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",11851
"196","Chromis alleni","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",11852
"197","Chromis alta","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",11853
"198","Chromis amboinensis","plants","other plants","benthic algae/weeds",19,"juv./adults",5671
"199","Chromis amboinensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5671
"200","Chromis analis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6551
"201","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"202","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"203","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"204","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"205","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"206","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"207","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"208","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"209","Chromis analis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6551
"210","Chromis atrilobata","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",8279
"211","Chromis atripes","plants","other plants","benthic algae/weeds",19,"juv./adults",4982
"212","Chromis atripes","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",4982
"213","Chromis chromis","nekton","finfish","bony fish",NA,"juv./adults",1706
"214","Chromis chromis","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1706
"215","Chromis chromis","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",1706
"216","Chromis chromis","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",1706
"217","Chromis chromis","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",1706
"218","Chromis chromis","zoobenthos","worms","polychaetes",NA,"juv./adults",1706
"219","Chromis chromis","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",1706
"220","Chromis chrysura","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6656
"221","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"222","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"223","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"224","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"225","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"226","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"227","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"228","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"229","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"230","Chromis chrysura","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6656
"231","Chromis cinerascens","plants","other plants","benthic algae/weeds",19,"juv./adults",11858
"232","Chromis cinerascens","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11858
